Year,Month,NAO
1973,11,-0.26
1973,12,-1.65
1974,1,3.75
1974,2,0.68
1974,3,-0.81
1974,4,-2.3
1974,5,-0.01
1974,6,-0.14
1974,7,2.07
1974,8,0.89
1974,9,0.11
1974,10,-1.44
1974,11,1.27
1974,12,3.06
1975,1,2.43
1975,2,0.4
1975,3,-1.26
1975,4,-0.84
1975,5,-2.42
1975,6,0.18
1975,7,0.63
1975,8,0.08
1975,9,1.75
1975,10,0.39
1975,11,0.86
1975,12,-1.57
1976,1,0.75
1976,2,1.29
1976,3,1.87
1976,4,-1.53
1976,5,1.2
1976,6,1.76
1976,7,-0.57
1976,8,0.62
1976,9,-3.46
1976,10,-0.64
1976,11,1.5
1976,12,-3.63
1977,1,-2.36
1977,2,0.28
1977,3,1.33
1977,4,1.07
1977,5,-1.62
1977,6,-0.89
1977,7,-1.14
1977,8,-1.42
1977,9,1.64
1977,10,0.45
1977,11,0.37
1977,12,-0.25
1978,1,0.46
1978,2,-1.99
1978,3,3.1
1978,4,-3.12
1978,5,0.37
1978,6,0.14
1978,7,-0.33
1978,8,0.05
1978,9,1.96
1978,10,0.02
1978,11,3.91
1978,12,-2.08
1979,1,-3.22
1979,2,-0.62
1979,3,0.54
1979,4,-0.79
1979,5,1
1979,6,0.45
1979,7,2.53
1979,8,-0.85
1979,9,1.12
1979,10,-1.95
1979,11,1.95
1979,12,2.07
1980,1,-1.8
1980,2,0.7
1980,3,-0.68
1980,4,0.03
1980,5,-2.26
1980,6,-0.2
1980,7,-0.91
1980,8,0.3
1980,9,1.72
1980,10,-0.87
1980,11,-2.06
1980,12,1.55
1981,1,1
1981,2,1.04
1981,3,0.01
1981,4,-3.04
1981,5,0.05
1981,6,-1.57
1981,7,1.74
1981,8,1.01
1981,9,0.27
1981,10,-1.06
1981,11,1.66
1981,12,-2.2
1982,1,-0.72
1982,2,2.25
1982,3,1.66
1982,4,-0.99
1982,5,1.1
1982,6,-1.86
1982,7,-0.65
1982,8,1.45
1982,9,1.08
1982,10,0.32
1982,11,1.71
1982,12,2.64
1983,1,4.82
1983,2,-1.25
1983,3,1.79
1983,4,-1.01
1983,5,-0.57
1983,6,0.54
1983,7,-0.75
1983,8,0.56
1983,9,-0.65
1983,10,2.06
1983,11,-2.28
1983,12,0.83
1984,1,2.53
1984,2,1.73
1984,3,-2.12
1984,4,0.33
1984,5,-2.34
1984,6,0.33
1984,7,0.93
1984,8,1
1984,9,-1.31
1984,10,1.66
1984,11,-1.16
1984,12,1.52
1985,1,-2.87
1985,2,-0.24
1985,3,0.07
1985,4,0.34
1985,5,-2.13
1985,6,-1.08
1985,7,1.09
1985,8,2.33
1985,9,0
1985,10,0.14
1985,11,-2.85
1985,12,-0.43
1986,1,1.46
1986,2,-4.02
1986,3,2.86
1986,4,-0.93
1986,5,2.16
1986,6,-1.29
1986,7,0.88
1986,8,-2.21
1986,9,-1.34
1986,10,2.27
1986,11,3.41
1986,12,3.42
1987,1,-2.12
1987,2,-0.24
1987,3,0.29
1987,4,2.59
1987,5,-0.81
1987,6,-0.58
1987,7,-1.24
1987,8,-2.99
1987,9,1.27
1987,10,-0.8
1987,11,-0.67
1987,12,-0.81
1988,1,0.53
1988,2,-0.11
1988,3,0.78
1988,4,-2.39
1988,5,-1.24
1988,6,-2.75
1988,7,1.46
1988,8,0.73
1988,9,0.8
1988,10,-2.02
1988,11,-1.47
1988,12,1.85
1989,1,3.53
1989,2,3.61
1989,3,2.45
1989,4,-0.48
1989,5,1.16
1989,6,-0.53
1989,7,0.58
1989,8,1.76
1989,9,-0.96
1989,10,0.88
1989,11,-2.97
1989,12,-2.23
1990,1,3.5
1990,2,5.11
1990,3,3.11
1990,4,1.77
1990,5,-1.19
1990,6,0.42
1990,7,1.43
1990,8,3.31
1990,9,-0.99
1990,10,-0.59
1990,11,-1.48
1990,12,0.34
1991,1,1.87
1991,2,-0.02
1991,3,-1.37
1991,4,1.48
1991,5,-0.04
1991,6,-0.31
1991,7,-0.28
1991,8,2.71
1991,9,-1.12
1991,10,-1.77
1991,11,1.68
1991,12,1.24
1992,1,0.64
1992,2,3.18
1992,3,1.66
1992,4,1.32
1992,5,0.8
1992,6,-1.74
1992,7,1.04
1992,8,3.97
1992,9,0.99
1992,10,-3.33
1992,11,4.52
1992,12,0.21
1993,1,3.91
1993,2,0.11
1993,3,1.47
1993,4,0.83
1993,5,-2.59
1993,6,0.16
1993,7,0.64
1993,8,0.75
1993,9,-2.6
1993,10,-4.13
1993,11,0.77
1993,12,2.17
1994,1,1.28
1994,2,0.07
1994,3,3.68
1994,4,1.38
1994,5,-1.43
1994,6,2.99
1994,7,-0.09
1994,8,-1.59
1994,9,-2.85
1994,10,-1.88
1994,11,1.68
1994,12,2.86
1995,1,2.7
1995,2,3.13
1995,3,1.06
1995,4,-1.81
1995,5,-0.36
1995,6,-3.36
1995,7,-0.96
1995,8,-1.33
1995,9,-1.55
1995,10,1.22
1995,11,-2.73
1995,12,-3.33
1996,1,-3.27
1996,2,-0.12
1996,3,-2.57
1996,4,-0.31
1996,5,-1.5
1996,6,1.43
1996,7,1.47
1996,8,-0.19
1996,9,-2.23
1996,10,-0.07
1996,11,-0.05
1996,12,-4.7
1997,1,-1.95
1997,2,5.26
1997,3,2.09
1997,4,-0.97
1997,5,-1.35
1997,6,-4.05
1997,7,1.18
1997,8,1.78
1997,9,-0.67
1997,10,-2.26
1997,11,-0.99
1997,12,-0.2
1998,1,-0.28
1998,2,2.44
1998,3,1.24
1998,4,-0.39
1998,5,-1.26
1998,6,-0.85
1998,7,-0.57
1998,8,1.8
1998,9,-3.48
1998,10,1.34
1998,11,1.13
1998,12,1.95
1999,1,0.9
1999,2,1.8
1999,3,-0.72
1999,4,0.43
1999,5,1.03
1999,6,1.39
1999,7,-1.85
1999,8,-3.67
1999,9,-0.51
1999,10,-0.69
1999,11,0.3
1999,12,2.13
2000,1,0.35
2000,2,4.37
2000,3,0.54
2000,4,-3.34
2000,5,0.31
2000,6,0.89
2000,7,-2.99
2000,8,0.78
2000,9,-1.1
2000,10,2.26
2000,11,-0.24
2000,12,-1.41
2001,1,0.02
2001,2,0.07
2001,3,-0.68
2001,4,1.24
2001,5,-0.09
2001,6,-1.33
2001,7,-1.12
2001,8,1.64
2001,9,-3.83
2001,10,0.88
2001,11,0.01
2001,12,-2.25
2002,1,2.31
2002,2,3.01
2002,3,0.09
2002,4,0.91
2002,5,-0.05
2002,6,0.9
2002,7,-0.71
2002,8,-0.61
2002,9,-3.58
2002,10,-1.5
2002,11,-0.27
2002,12,-0.98
2003,1,0.15
2003,2,1.34
2003,3,1.08
2003,4,-1.74
2003,5,1.17
2003,6,-0.86
2003,7,0.09
2003,8,-0.99
2003,9,0.35
2003,10,-3.68
2003,11,0.31
2003,12,-0.85
2004,1,0.2
2004,2,-1.23
2004,3,1.07
2004,4,1.08
2004,5,-0.67
2004,6,-0.38
2004,7,-0.3
2004,8,-0.76
2004,9,2.51
2004,10,-2.18
2004,11,-0.55
2004,12,1.27
2005,1,1.82
2005,2,-2.25
2005,3,-1.29
2005,4,0.71
2005,5,-0.13
2005,6,-1
2005,7,-0.08
2005,8,0.94
2005,9,0.5
2005,10,-0.45
2005,11,-1.01
2005,12,-0.81
2006,1,-0.1
2006,2,-1.24
2006,3,-1.12
2006,4,0.57
2006,5,-0.22
2006,6,-0.41
2006,7,0.83
2006,8,-2.47
2006,9,-1.02
2006,10,-1.97
2006,11,1.7
2006,12,3.08
2007,1,1.77
2007,2,0.42
2007,3,2.03
2007,4,-0.1
2007,5,0.62
2007,6,-3.34
2007,7,-1.05
2007,8,-3.41
2007,9,-1.18
2007,10,-0.02
2007,11,-1.67
2007,12,1.42
2008,1,1.87
2008,2,1.81
2008,3,0.37
2008,4,-2.02
2008,5,-3.26
2008,6,-2.05
2008,7,-1.38
2008,8,-0.21
2008,9,-2.07
2008,10,0.01
2008,11,-1.3
2008,12,-0.58
2009,1,0.61
2009,2,-1.43
2009,3,0.15
2009,4,1.74
2009,5,1.52
2009,6,-3.05
2009,7,-0.92
2009,8,1.07
2009,9,-0.63
2009,10,-2
2009,11,1.68
2009,12,-3.72
2010,1,-2.38
2010,2,-3.25
2010,3,-0.8
2010,4,-1.03
2010,5,-1.66
2010,6,-2.4
2010,7,0.06
2010,8,-2.01
2010,9,-2.38
2010,10,-2.41
2010,11,-3.34
2010,12,-4.62
2011,1,-1.38
2011,2,2.79
2011,3,-0.44
2011,4,2.39
2011,5,1.08
2011,6,-1.58
2011,7,-3.39
2011,8,-0.18
2011,9,2.97
2011,10,1.45
2011,11,0.74
2011,12,3.2
2012,1,0.86
2012,2,0.03
2012,3,0.93
2012,4,0.37
2012,5,-0.79
2012,6,-2.25
2012,7,-1.29
2012,8,-1.39
2012,9,-0.43
2012,10,-1.73
2012,11,-0.74
2012,12,0.07
2013,1,-0.11
2013,2,-0.96
2013,3,-2.09
2013,4,0.6
2013,5,0.58
2013,6,0.83
2013,7,0.7
2013,8,1.12
2013,9,0.38
2013,10,-0.88
2013,11,0.81
2013,12,0.79
2014,1,-0.17
2014,2,1.07
2014,3,0.44
2014,4,0.19
2014,5,-0.8
2014,6,-0.67
2014,7,0.21
2014,8,-2.28
2014,9,1.72
2014,10,-0.87
2014,11,0.58
2014,12,1.63
2015,1,1.79
2015,2,1.32
2015,3,1.45
2015,4,0.73
2015,5,0.15
2015,6,-0.07
2015,7,-3.18
2015,8,-0.76
2015,9,-0.65
2015,10,0.44
2015,11,1.74
2015,12,2.24
2016,1,0.12
2016,2,1.58
2016,3,0.73
2016,4,0.38
2016,5,-0.77
2016,6,-0.43
2016,7,-1.76
2016,8,-1.65
2016,9,0.61
2016,10,0.41
2016,11,-0.16
2016,12,0.48
2017,1,0.48
2017,2,1
2017,3,0.74
2017,4,1.73
2017,5,-1.91
2017,6,0.05
2017,7,1.26
2017,8,-1.1
2017,9,-0.61
2017,10,0.19
2017,11,0
2017,12,0.88
2018,1,1.44
2018,2,1.58
2018,3,-0.93
2018,4,1.24
2018,5,2.12
2018,6,1.09
2018,7,1.39
2018,8,1.97
2018,9,1.67
2018,10,0.93
2018,11,-0.11
2018,12,0.61
2019,1,0.59
2019,2,0.29
2019,3,1.23
2019,4,0.47
2019,5,-2.62
2019,6,-1.09
2019,7,-1.43
2019,8,-1.17
2019,9,-0.16
2019,10,-1.41
2019,11,0.28
2019,12,1.2
2020,1,1.34
2020,2,1.26
2020,3,1.01
2020,4,-1.02
2020,5,-0.41
2020,6,-0.15
2020,7,-1.23
2020,8,0.12
2020,9,0.98
2020,10,-0.65
2020,11,2.54
2020,12,-0.3
2021,1,-1.11
2021,2,0.14
2021,3,0.73
2021,4,-1.43
2021,5,-1.24
2021,6,0.77
2021,7,0.03
2021,8,-0.28
2021,9,-0.21
2021,10,-2.29
2021,11,-0.18
2021,12,0.29
